drug_name,num_prescriber,total_cost
ALPRAZOLAM,10,4628.079999999999
AMANTADINE,3,4898.93
AMBIEN,1,4792.29
AMBIEN CR,1,4792.29
AMITRIPTYLINE HCL,6,2998.87
ARIPIPRAZOLE,3,81238.8
BENZTROPINE MESYLATE,3,3700.92
BUPROPION XL,5,6755.57
BUSPIRONE HCL,7,3937.54
CHLORPROMAZINE HCL,2,57731.5
CITALOPRAM HBR,10,3280.55
CLOMIPRAMINE HCL,1,8886.79
CLONAZEPAM,11,4319.629999999999
CLOZAPINE,3,12150.52
DESIPRAMINE HCL,1,1210.35
DEXTROAMPHETAMINE-AMPHETAMINE,2,2312.2400000000002
DIAZEPAM,6,1122.9799999999998
DIVALPROEX SODIUM,5,6972.95
DIVALPROEX SODIUM ER,4,61607.97
DONEPEZIL HCL,11,6397.719999999999
DOXEPIN HCL,1,270.66
DULOXETINE HCL,10,39477.560000000005
ESCITALOPRAM OXALATE,7,3663.4300000000003
FANAPT,1,11967.55
FETZIMA,1,12320.7
FLUOXETINE HCL,10,5909.6900000000005
FLUPHENAZINE DECANOATE,1,4736.79
FLUPHENAZINE HCL,2,2177.1400000000003
FLUVOXAMINE MALEATE,3,2721.44
GABAPENTIN,17,27733.340000000007
HALOPERIDOL,3,6667.37
HYDROXYZINE HCL,3,3094.9
INVEGA SUSTENNA,2,101752.09999999999
LAMOTRIGINE,7,2446.67
LATUDA,3,152003.02
LITHIUM CARBONATE,4,637.1
LITHIUM CARBONATE ER,1,371.0
LORAZEPAM,9,4580.39
MIRTAZAPINE,6,5610.14
NORTRIPTYLINE HCL,4,886.4200000000001
OLANZAPINE,5,9124.09
OLANZAPINE ODT,2,2596.47
OLEPTRO ER,1,2919.43
OXCARBAZEPINE,3,1368.9099999999999
PAROXETINE HCL,6,4349.36
PERPHENAZINE,2,6492.89
PRISTIQ ER,1,7056.32
QUETIAPINE FUMARATE,9,16171.409999999998
RISPERIDONE,7,11027.95
SEROQUEL XR,4,63758.37999999999
SERTRALINE HCL,10,3905.77
THIOTHIXENE,2,5819.29
TOFRANIL,1,7948.98
TOPIRAMATE,4,847.24
TRAZODONE HCL,13,6562.619999999999
TRIFLUOPERAZINE HCL,1,3609.49
TRIHEXYPHENIDYL HCL,2,635.38
VALPROIC ACID,1,231.35
VENLAFAXINE HCL ER,6,8998.89
VIIBRYD,1,3840.24
VYVANSE,2,14688.3
WELLBUTRIN XL,1,36671.74
XANAX,1,13058.1
ZALEPLON,1,554.9
ZIPRASIDONE HCL,3,9492.36
ZOLPIDEM TARTRATE,9,5850.780000000001
ZOLPIDEM TARTRATE ER,1,4059.87
ZYPREXA,1,27758.25
AMOXICILLIN,14,2503.3100000000004
CIPROFLOXACIN HCL,10,1654.6899999999996
HYDROCODONE-ACETAMINOPHEN,25,25571.59999999999
IBUPROFEN,9,1760.25
OXYCODONE-ACETAMINOPHEN,8,19186.79
PREDNISONE,9,2079.91
BICALUTAMIDE,2,2558.3999999999996
CEPHALEXIN,10,1890.08
FINASTERIDE,4,31609.23
LACTULOSE,3,708.42
TAMSULOSIN HCL,7,21166.260000000002
TERAZOSIN HCL,4,1078.81
TROSPIUM CHLORIDE,2,2848.75
ALPHAGAN P,2,6161.67
BRIMONIDINE TARTRATE,4,8456.7
COMBIGAN,3,25060.46
DORZOLAMIDE HCL,2,1378.12
DORZOLAMIDE-TIMOLOL,4,5123.3
DUREZOL,1,10983.4
GENTAMICIN SULFATE,1,372.18
LATANOPROST,5,8293.25
PREDNISOLONE ACETATE,4,24775.760000000002
TIMOLOL MALEATE,4,7120.92
VALGANCICLOVIR HCL,1,46708.89
TRAVATAN Z,4,23208.89
ADVAIR DISKUS,8,122084.38999999998
AMLODIPINE BESYLATE,15,13482.24
HYDROCHLOROTHIAZIDE,12,4359.55
LISINOPRIL,15,13066.310000000001
OMEPRAZOLE,12,20314.239999999998
AZOPT,2,12341.35
BROMFENAC SODIUM,1,1480.3
ERYTHROMYCIN,2,1318.81
ILEVRO,1,8085.72
LUMIGAN,2,21263.480000000003
OFLOXACIN,2,2111.43
PATADAY,2,10347.59
VIGAMOX,2,9542.95
ACETAMINOPHEN-CODEINE,5,1615.35
ACETAZOLAMIDE,1,2990.85
BACLOFEN,3,3807.0299999999997
CARBAMAZEPINE ER,2,2524.33
CLOPIDOGREL,8,7513.27
LEVETIRACETAM,3,5552.61
OXYCODONE HCL,9,11365.88
PHENOBARBITAL,2,715.76
PHENYTOIN SODIUM EXTENDED,3,1215.0
PRAVASTATIN SODIUM,9,13281.53
PYRIDOSTIGMINE BROMIDE,2,3012.8199999999997
POLYETHYLENE GLYCOL 3350,5,2812.77
CLINDAMYCIN HCL,4,309.95
GAMUNEX-C,1,39561.45
ACYCLOVIR,4,2637.07
AFEDITAB CR,1,534.62
AGGRENOX,1,7437.25
ALENDRONATE SODIUM,8,3299.16
ALLOPURINOL,8,6764.529999999999
AMIODARONE HCL,1,394.65
ATENOLOL,8,7517.41
ATORVASTATIN CALCIUM,14,32704.299999999996
BENAZEPRIL HCL,4,1278.8300000000002
BETHANECHOL CHLORIDE,1,6981.35
BUPROPION HCL,3,3014.3500000000004
BUPROPION HCL SR,4,2662.19
CALCITRIOL,1,1181.15
CARBAMAZEPINE,5,10181.78
CARBIDOPA-LEVODOPA,3,5692.76
CARBIDOPA-LEVODOPA ER,1,651.07
CARVEDILOL,8,4154.98
CHLORDIAZEPOXIDE HCL,1,89.19
CLONIDINE HCL,4,1766.3400000000001
CRESTOR,8,137132.74
DESONIDE,2,6646.0599999999995
ESTRADIOL,2,1809.4299999999998
FAMOTIDINE,4,1879.76
FENOFIBRATE,4,16745.05
FLUOCINONIDE,2,6007.740000000001
FLUTICASONE PROPIONATE,7,6804.37
FUROSEMIDE,8,5240.91
GLIPIZIDE,5,2165.5699999999997
HUMALOG,2,53689.32
HYDRALAZINE HCL,4,1270.63
IPRATROPIUM-ALBUTEROL,1,362.19
ISOSORBIDE MONONITRATE ER,5,3904.51
JANUVIA,5,112231.28
KETOCONAZOLE,4,5010.759999999999
KLOR-CON 10,1,1390.41
LANTUS,5,148321.66
LIDODERM,1,20096.81
LOSARTAN POTASSIUM,12,14248.690000000002
MEDROXYPROGESTERONE ACETATE,1,112.04
METFORMIN HCL,10,13863.449999999999
METOCLOPRAMIDE HCL,3,450.9200000000001
METOLAZONE,2,1144.74
METOPROLOL SUCCINATE,10,38174.58
METOPROLOL TARTRATE,10,4337.21
MONTELUKAST SODIUM,7,7005.749999999999
MYRBETRIQ,1,5190.26
NAMENDA,2,17564.73
NAPROXEN,3,706.02
NIFEDIPINE ER,3,3286.2599999999998
NOVOLOG,2,53695.74
NYSTOP,2,1868.1200000000001
OXYBUTYNIN CHLORIDE,4,3564.42
PANTOPRAZOLE SODIUM,7,6945.950000000001
PATANOL,2,10551.779999999999
PIOGLITAZONE HCL,3,3676.4399999999996
POTASSIUM CHLORIDE,9,18783.2
PRADAXA,2,8726.09
PRAMIPEXOLE DIHYDROCHLORIDE,4,2758.7400000000002
PRIMIDONE,2,669.91
PROPRANOLOL HCL ER,1,1477.71
RAMIPRIL,2,1262.52
RANITIDINE HCL,6,4861.110000000001
